   MEMB, DISTANCE,  FY MAX,FY MIN,    MZ Max,MZ MIN,,
2,0,125.27,83.52,103.82,69.21,,0
,0.54,106.27,70.85,41.49,27.66,,0
,1.08,87.27,58.18,-10.6,-7.07,,0
,1.61,68.26,45.51,-52.46,-34.67,,0
,2.15,49.26,32.84,-84.1,-56.06,,0
,2.69,30.25,20.17,-105.5,-70.33,,0
,3.23,11.25,7.5,-112.67,-77.78,,0
,3.77,-30.25,-20.17,-105.5,-70.33,,0
,4.3,-49.26,-32.84,-84.1,-56.06,,0
,4.84,-68.26,-45.51,-52.46,-34.67,,0
,5.38,-87.27,-58.18,-10.6,-7.07,,0
,5.92,-106.27,-70.85,41.49,27.66,,0
,6.46,-125.27,-83.52,103.82,69.21,,0
