   MEMB, DISTANCE,  FY MAX,FY MIN,    MZ Max,MZ MIN,,
1,0,162.4,108.21,0,0,,0
,0.54,135.33,90.22,-80.1,-54.4,,0
,1.08,108.27,72.18,-145.64,-97.09,,0
,1.61,81.2,54.13,-196.61,-131.08,,0
,2.15,54.13,36.09,-233.02,-155.35,,0
,2.69,27.07,18.04,-254.07,-169.91,,0
,3.23,0,0,-262.15,-174.77,,0
,3.77,-27.07,-18.04,-254.07,-169.91,,0
,4.3,-54.13,-36.09,-233.02,-155.35,,0
,4.84,-81.2,-54.13,-196.61,-131.08,,0
,5.38,-108.27,-72.18,-145.64,-97.09,,0
,5.92,-135.33,-90.22,-80.1,-54.4,,0
,6.57,-162.4,-108.21,0,0,,0
